# 側掛知識流 zh↔en 標題對照表 (canonical title map)
# 用途：新增或翻譯筆記時，英文檔名/wikilink 目標一律以本表為準，避免同一篇在不同檔案被譯成不同標題
#       （2026-07-15 曾因翻譯漂移造成 en/ 78 條 wikilink 斷鏈）。
# 維護：新增筆記時同步加一列。check-links.ps1 會據此驗證中英對應完整性。
# 00_MOCs 之 8 個檔案中英同名，不列於此表。
# 格式：folder <TAB> zh_filename <TAB> en_filename （皆不含 .md）
10_Concepts	休閒側掛與技術側掛的定位光譜	Recreational and Technical Sidemount Positioning Spectrum
10_Concepts	側掛潛水起源與歷史	Sidemount Origins & History
10_Concepts	側掛潛水適合族群與生理考量	Suitable Groups & Physiological Considerations
10_Concepts	側掛與背掛系統深度對比	Sidemount vs Backmount Systems
10_Concepts	壓力心理與任務負荷 (Task Loading) 管理	Stress Psychology & Task Loading Management
10_Concepts	流線型與水中平衡哲學	Streamline & In-Water Balance Philosophy
10_Concepts	自給自足與獨立性精神	Self-Sufficiency Philosophy
20_Equipment	Razor 側掛系統調整與配置	Razor Sidemount System Adjustment
20_Equipment	XDEEP Stealth 2.0 系統調整與配置	XDEEP Stealth 2.0 Configuration
20_Equipment	主流側掛系統橫向對比 (Katana 2、Nomad、WSX)	Harness Comparison (Katana 2, Nomad, WSX)
20_Equipment	側掛氣瓶容量選型指南	Cylinder Size Selection Guide
20_Equipment	側掛背帶與浮力補償裝置 (BCD)	Sidemount Harness & BCD
20_Equipment	側掛蛙鞋與面鏡選擇	Fins and Mask Selection
20_Equipment	側掛調節器與低壓高壓管線配置	Sidemount Regulator & Hose Routing
20_Equipment	側掛配件與口袋系統配置	Accessories and Pocket Configuration
20_Equipment	氣瓶懸掛系統與硬體配置	Cylinder Rigging & Hardware Setup
20_Equipment	潛水燈具系統與 Goodman 握把配置	Primary Light and Goodman Handle Configuration
20_Equipment	潛水電腦與無線氣體整合配置	Dive Computer & Transmitter Configuration
20_Equipment	鋼瓶與鋁瓶的浮力與配重管理	Steel vs Aluminum Buoyancy Management
20_Equipment	防寒衣選擇與浮力配平影響	Exposure Suit Selection & Trim Influence
30_Skills	二級頭收納切換與尋回技巧	Second Stage Stowage, Switching & Retrieval
30_Skills	側掛下潛程序與懸停控制	Descent Procedure & Hover Control
30_Skills	側掛入水與出水技巧	Entry & Exit Techniques
30_Skills	側掛動力推進技巧 (Propulsion)	Sidemount Propulsion Techniques
30_Skills	單氣瓶側掛配置與平衡技巧	Single Cylinder Sidemount Configuration
30_Skills	團隊手勢燈光與觸摸溝通	Team Hand Signals, Light & Touch Communication
30_Skills	氣瓶水中動態管理技巧	In-Water Cylinder Management Techniques
30_Skills	水中浮力與水平配平 (Trim)	In-Water Buoyancy & Horizontal Trim
